"strategy","day","seed","dust","cells","data","cores","bioloid_count","can_synth_scout","first_synthesis_day","dispatched","completed","failed","aborted","damage","syntheses","success_rate"
"balanced","1","1","46","10","89","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","101","49","10","102","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","201","46","10","95","2","4","true","1","10","10","0","0","39","1","100.00"
"balanced","1","301","49","10","93","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","401","53","10","101","2","4","true","1","10","10","0","0","34","1","100.00"
"balanced","1","501","50","10","98","2","4","true","1","10","10","0","0","41","1","100.00"
"balanced","1","601","55","10","101","2","4","true","1","10","10","0","0","39","1","100.00"
"balanced","1","701","59","10","108","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","801","55","10","93","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","901","49","10","107","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","1001","51","10","98","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","1101","45","10","89","2","4","true","1","10","10","0","0","34","1","100.00"
"balanced","1","1201","48","10","87","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","1301","47","10","103","2","4","true","1","10","10","0","0","35","1","100.00"
"balanced","1","1401","46","10","101","2","4","true","1","10","10","0","0","43","1","100.00"
"balanced","1","1501","48","10","102","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","1601","44","10","103","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","1701","48","10","93","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","1801","60","10","100","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","1901","44","10","109","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","2001","46","10","97","2","4","true","1","10","10","0","0","42","1","100.00"
"balanced","1","2101","44","10","107","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","2201","60","10","98","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","2301","52","10","117","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","2401","50","10","106","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","2501","44","10","88","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","2601","49","10","105","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","2701","45","10","100","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","2801","48","10","75","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","2901","52","10","103","2","4","true","1","10","10","0","0","36","1","100.00"
"balanced","1","3001","51","10","89","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","3101","46","10","99","2","4","true","1","10","10","0","0","36","1","100.00"
"balanced","1","3201","48","10","113","2","4","true","1","10","10","0","0","41","1","100.00"
"balanced","1","3301","50","10","86","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","3401","54","10","97","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","3501","52","10","91","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","3601","46","10","116","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","3701","50","10","94","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","3801","49","10","98","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","3901","48","10","106","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","4001","40","10","101","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","4101","50","10","90","2","4","true","1","10","10","0","0","34","1","100.00"
"balanced","1","4201","44","10","105","2","4","true","1","10","10","0","0","36","1","100.00"
"balanced","1","4301","48","10","96","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","4401","52","10","88","2","4","true","1","10","10","0","0","41","1","100.00"
"balanced","1","4501","43","10","100","2","4","true","1","10","10","0","0","42","1","100.00"
"balanced","1","4601","53","10","106","2","4","true","1","10","10","0","0","44","1","100.00"
"balanced","1","4701","46","10","98","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","4801","42","10","93","2","4","true","1","10","10","0","0","42","1","100.00"
"balanced","1","4901","48","10","97","2","4","true","1","10","10","0","0","39","1","100.00"
"balanced","1","5001","49","10","85","2","4","true","1","10","10","0","0","40","1","100.00"
"balanced","1","5101","48","10","103","2","4","true","1","10","10","0","0","39","1","100.00"
"balanced","1","5201","51","10","101","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","5301","43","10","91","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","5401","44","10","89","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","5501","46","10","97","2","4","true","1","10","10","0","0","43","1","100.00"
"balanced","1","5601","47","10","101","2","4","true","1","10","10","0","0","36","1","100.00"
"balanced","1","5701","44","10","110","2","4","true","1","10","10","0","0","38","1","100.00"
"balanced","1","5801","51","10","110","2","4","true","1","10","10","0","0","36","1","100.00"
"balanced","1","5901","51","10","87","2","4","true","1","10","10","0","0","37","1","100.00"
"balanced","1","6001","49","10","104","2","4","true","1","10","10","0","0","40","1","100.00"
